,doctor,nurse,patient,walking,waiting_instruction,ocupied,empty,admiting,documenting,checking-medicine,documenting-risk,waiting_admission,in-admission,walking_%,documenting_%,not-walking_%,not-documenting_%
135,2,3,13,1,4,13,39,0,0,0,0,0,13,0.24938271604938275,0.25925925925925913,0.7506172839506172,0.7407407407407409
136,2,3,13,1,4,13,39,0,0,0,0,0,13,0.25000000000000006,0.25735294117647045,0.75,0.7426470588235295
137,2,3,13,0,4,13,39,0,1,0,0,0,13,0.24817518248175188,0.2579075425790753,0.7518248175182481,0.7420924574209247
138,2,3,13,0,4,13,39,0,1,0,0,0,13,0.24637681159420297,0.2584541062801931,0.753623188405797,0.741545893719807
139,2,3,13,0,4,13,39,0,1,0,0,0,13,0.24460431654676265,0.25899280575539557,0.7553956834532374,0.7410071942446044
140,2,3,13,0,4,13,39,0,1,0,0,0,13,0.24285714285714294,0.25952380952380943,0.7571428571428571,0.7404761904761905
141,2,3,13,0,4,13,39,0,1,0,0,0,13,0.24113475177304972,0.26004728132387694,0.7588652482269502,0.739952718676123
142,2,3,13,0,4,13,39,0,1,0,0,0,13,0.23943661971830993,0.26056338028169,0.76056338028169,0.73943661971831
143,2,3,13,0,4,13,39,0,1,0,0,0,13,0.23776223776223782,0.26107226107226095,0.7622377622377622,0.7389277389277391
144,2,3,13,0,5,13,39,0,0,0,0,0,13,0.2361111111111112,0.25925925925925913,0.7638888888888888,0.7407407407407409
145,2,3,13,0,5,13,39,0,0,0,0,0,13,0.2344827586206897,0.257471264367816,0.7655172413793103,0.742528735632184
146,2,3,13,0,5,13,39,0,0,0,0,0,13,0.2328767123287672,0.2557077625570775,0.7671232876712328,0.7442922374429225
147,2,3,13,0,5,13,39,0,0,0,0,0,13,0.23129251700680278,0.25396825396825384,0.7687074829931972,0.7460317460317462
148,2,3,13,0,5,13,39,0,0,0,0,0,13,0.2297297297297298,0.2522522522522521,0.7702702702702702,0.7477477477477479
149,2,3,13,0,5,13,39,0,0,0,0,0,13,0.2281879194630873,0.250559284116331,0.7718120805369126,0.749440715883669
150,2,3,13,0,5,13,39,0,0,0,0,0,13,0.22666666666666674,0.2488888888888888,0.7733333333333332,0.7511111111111112
151,2,3,13,0,5,13,39,0,0,0,0,0,13,0.22516556291390735,0.24724061810154516,0.7748344370860927,0.7527593818984548
152,2,3,13,0,5,13,39,0,0,0,0,0,13,0.22368421052631585,0.2456140350877192,0.7763157894736842,0.7543859649122808
153,2,3,13,0,5,13,39,0,0,0,0,0,13,0.2222222222222223,0.2440087145969498,0.7777777777777777,0.7559912854030502
154,2,3,0,0,5,0,52,0,0,0,0,0,0,0.22077922077922085,0.24242424242424232,0.7792207792207791,0.7575757575757577
155,2,3,0,0,5,0,52,0,0,0,0,0,0,0.21935483870967748,0.24086021505376334,0.7806451612903225,0.7591397849462367
156,2,3,0,0,5,0,52,0,0,0,0,0,0,0.217948717948718,0.23931623931623922,0.7820512820512819,0.7606837606837608
157,2,3,0,0,5,0,52,0,0,0,0,0,0,0.2165605095541402,0.2377919320594479,0.7834394904458598,0.7622080679405521
158,2,3,1,0,6,1,51,0,0,0,0,0,0,0.21518987341772158,0.23628691983122355,0.7848101265822784,0.7637130801687765
159,2,3,6,2,8,6,46,0,0,0,0,1,0,0.21593291404612167,0.23480083857442338,0.7840670859538783,0.7651991614255766
160,2,3,11,5,5,11,41,0,0,0,0,6,0,0.22083333333333338,0.23333333333333325,0.7791666666666666,0.7666666666666667
161,2,3,13,4,2,13,39,1,0,0,0,10,1,0.22360248447204975,0.2318840579710144,0.7763975155279502,0.7681159420289856
162,2,3,13,4,0,13,39,1,0,0,0,12,1,0.22633744855967083,0.23045267489711926,0.7736625514403291,0.7695473251028807
163,2,3,13,3,0,13,39,2,0,0,0,11,2,0.2269938650306749,0.2290388548057259,0.7730061349693251,0.7709611451942742
164,2,3,13,0,0,13,39,5,0,0,0,10,3,0.22560975609756104,0.22764227642276413,0.7743902439024389,0.7723577235772359
165,2,3,13,0,0,13,39,5,0,0,0,10,3,0.2242424242424243,0.22626262626262617,0.7757575757575756,0.7737373737373738
166,2,3,13,0,0,13,39,5,0,0,0,10,3,0.2228915662650603,0.2248995983935742,0.7771084337349397,0.7751004016064258
167,2,3,13,0,0,13,39,5,0,0,0,10,3,0.22155688622754496,0.22355289421157676,0.778443113772455,0.7764471057884232
168,2,3,13,0,0,13,39,5,0,0,0,10,3,0.2202380952380953,0.22222222222222213,0.7797619047619047,0.7777777777777779
169,2,3,13,0,1,13,39,4,0,0,0,10,3,0.2189349112426036,0.22090729783037466,0.7810650887573964,0.7790927021696253
170,2,3,13,1,0,13,39,4,0,0,0,10,3,0.21960784313725495,0.21960784313725482,0.780392156862745,0.7803921568627452
171,2,3,13,1,0,13,39,4,0,0,0,10,3,0.22027290448343084,0.21832358674463928,0.7797270955165692,0.7816764132553607
172,2,3,13,0,2,13,39,2,1,0,0,10,3,0.21899224806201556,0.21899224806201542,0.7810077519379844,0.7810077519379846
173,2,3,13,2,2,13,39,0,1,0,0,10,3,0.2196531791907515,0.21965317919075136,0.7803468208092486,0.7803468208092487
174,2,3,13,4,0,13,39,0,1,0,0,10,3,0.22222222222222227,0.2203065134099616,0.7777777777777777,0.7796934865900385
175,2,3,13,4,0,13,39,0,1,0,0,10,3,0.22476190476190483,0.22095238095238087,0.7752380952380952,0.7790476190476191
176,2,3,13,3,0,13,39,0,2,0,0,10,3,0.22537878787878793,0.2234848484848484,0.774621212121212,0.7765151515151516
177,2,3,13,3,0,13,39,0,2,0,0,10,3,0.2259887005649718,0.22598870056497167,0.7740112994350282,0.7740112994350283
178,2,3,13,0,0,13,39,2,3,0,0,9,4,0.22471910112359555,0.23033707865168532,0.7752808988764044,0.7696629213483147
179,2,3,13,0,1,13,39,2,2,0,0,9,4,0.22346368715083803,0.23277467411545616,0.776536312849162,0.7672253258845438
180,2,3,13,1,0,13,39,2,2,0,0,9,4,0.22407407407407412,0.2351851851851851,0.7759259259259259,0.7648148148148148
181,2,3,13,1,0,13,39,2,2,0,0,9,4,0.22467771639042364,0.23756906077348056,0.7753222836095763,0.7624309392265194
182,2,3,13,1,0,13,39,2,2,0,0,9,4,0.22527472527472533,0.23992673992673982,0.7747252747252746,0.7600732600732601
183,2,3,13,1,0,13,39,2,2,0,0,9,4,0.2258652094717669,0.24225865209471756,0.7741347905282331,0.7577413479052825
184,2,3,13,1,1,13,39,2,1,0,0,9,4,0.22644927536231887,0.24275362318840568,0.7735507246376812,0.7572463768115943
185,2,3,13,1,0,13,39,3,1,0,0,9,4,0.22702702702702704,0.24324324324324315,0.772972972972973,0.7567567567567568
186,2,3,13,1,1,13,39,3,0,0,0,9,4,0.22759856630824374,0.24193548387096764,0.7724014336917563,0.7580645161290324
187,2,3,13,2,2,13,39,1,0,0,0,9,4,0.22994652406417113,0.24064171122994643,0.7700534759358288,0.7593582887700536
188,2,3,13,4,0,13,39,1,0,0,0,9,4,0.2322695035460993,0.23936170212765948,0.7677304964539007,0.7606382978723405
189,2,3,13,3,0,13,39,2,0,0,0,8,5,0.2328042328042328,0.238095238095238,0.7671957671957672,0.761904761904762
190,2,3,13,2,0,13,39,3,0,0,0,7,6,0.23157894736842105,0.2368421052631578,0.7684210526315789,0.7631578947368423
191,2,3,13,2,0,13,39,3,0,0,0,7,6,0.23036649214659685,0.23560209424083758,0.7696335078534031,0.7643979057591624
192,2,3,13,1,0,13,39,4,0,0,0,7,6,0.22916666666666666,0.2343749999999999,0.7708333333333334,0.7656250000000001
193,2,3,13,1,0,13,39,4,0,0,0,7,6,0.22797927461139897,0.23316062176165794,0.772020725388601,0.766839378238342
194,2,3,13,0,1,13,39,4,0,0,0,7,6,0.2268041237113402,0.23195876288659784,0.7731958762886598,0.7680412371134022
195,2,3,13,1,0,13,39,4,0,0,0,7,6,0.22735042735042735,0.23076923076923067,0.7726495726495727,0.7692307692307694
196,2,3,13,1,0,13,39,4,0,0,0,7,6,0.22789115646258504,0.22959183673469377,0.7721088435374149,0.7704081632653063
197,2,3,13,1,0,13,39,4,0,0,0,7,6,0.22842639593908629,0.2284263959390862,0.7715736040609137,0.7715736040609138
198,2,3,13,1,1,13,39,3,0,0,0,7,6,0.22895622895622897,0.22727272727272718,0.771043771043771,0.7727272727272728
199,2,3,13,2,1,13,39,2,0,0,0,7,6,0.23115577889447236,0.22613065326633155,0.7688442211055276,0.7738693467336685
200,2,3,13,2,0,13,39,2,1,0,0,7,6,0.23333333333333334,0.22666666666666657,0.7666666666666666,0.7733333333333334
201,2,3,13,2,1,13,39,1,1,0,0,7,6,0.23548922056384744,0.22719734660033158,0.7645107794361525,0.7728026533996684
202,2,3,13,3,0,13,39,1,1,0,0,7,6,0.2376237623762376,0.22772277227722762,0.7623762376237624,0.7722772277227724
203,2,3,13,1,1,13,39,0,3,0,0,7,6,0.23645320197044334,0.23152709359605902,0.7635467980295567,0.768472906403941
204,2,3,13,2,0,13,39,0,3,0,0,7,6,0.23529411764705882,0.23529411764705874,0.7647058823529411,0.7647058823529412
205,2,3,13,2,0,13,39,0,3,0,0,7,6,0.23414634146341465,0.23902439024390235,0.7658536585365854,0.7609756097560977
206,2,3,13,1,0,13,39,1,3,0,0,6,7,0.23300970873786409,0.24271844660194167,0.7669902912621359,0.7572815533980584
207,2,3,13,0,0,13,39,2,3,0,0,5,8,0.2318840579710145,0.2463768115942028,0.7681159420289855,0.7536231884057972
208,2,3,13,0,1,13,39,2,2,0,0,5,8,0.23076923076923078,0.24839743589743582,0.7692307692307692,0.7516025641025642
209,2,3,13,1,0,13,39,2,2,0,0,5,8,0.23125996810207336,0.2503987240829345,0.7687400318979266,0.7496012759170655
210,2,3,13,1,0,13,39,2,2,0,0,5,8,0.23174603174603176,0.2523809523809523,0.7682539682539682,0.7476190476190476
211,2,3,13,1,2,13,39,2,0,0,0,5,8,0.23222748815165878,0.2511848341232227,0.7677725118483412,0.7488151658767773
212,2,3,13,3,0,13,39,2,0,0,0,5,8,0.2358490566037736,0.24999999999999992,0.7641509433962264,0.7500000000000001
213,2,3,13,2,0,13,39,3,0,0,0,5,8,0.2378716744913928,0.2488262910798121,0.7621283255086072,0.7511737089201879
214,2,3,13,2,0,13,39,3,0,0,0,5,8,0.2398753894080997,0.24766355140186908,0.7601246105919003,0.752336448598131
215,2,3,13,1,1,13,39,3,0,0,0,4,9,0.24031007751937986,0.24651162790697664,0.7596899224806202,0.7534883720930233
216,2,3,13,2,1,13,39,2,0,0,0,4,9,0.24074074074074073,0.2453703703703703,0.7592592592592593,0.7546296296296298
217,2,3,13,3,0,13,39,2,0,0,0,4,9,0.2411674347158218,0.24423963133640544,0.7588325652841782,0.7557603686635945
218,2,3,13,2,0,13,39,3,0,0,0,4,9,0.2400611620795107,0.24311926605504577,0.7599388379204893,0.7568807339449543
219,2,3,13,2,0,13,39,3,0,0,0,4,9,0.2389649923896499,0.24200913242009123,0.76103500761035,0.7579908675799087
220,2,3,13,2,0,13,39,3,0,0,0,4,9,0.23787878787878788,0.24090909090909082,0.7621212121212121,0.7590909090909091
221,2,3,13,2,0,13,39,3,0,0,0,4,9,0.2368024132730015,0.2398190045248868,0.7631975867269984,0.7601809954751132
