,empty,ocupied,doctor,nurse,patient,resting,idle_nurse,idle_doctor,walking,in-admission,in-evaluation,in-medication,in-meeting,taking-inventory,documenting,admitting,evaluating,medicating,waiting-admission,waiting-evaluation,waiting-medication
69,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
70,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
71,52,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
72,52,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
73,52,0,2,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
74,49,3,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
75,49,3,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
76,49,3,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
77,49,3,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
78,49,3,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
79,49,3,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
80,49,3,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
81,49,3,2,2,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0
82,49,3,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
83,49,3,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
84,49,3,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
85,49,3,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
86,49,3,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
87,49,3,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
88,49,3,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
89,49,3,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
90,49,3,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
91,49,3,2,2,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
92,49,3,2,2,2,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
93,48,4,2,2,2,0,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0
94,48,4,2,2,2,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0
95,48,4,2,2,2,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0
96,48,4,2,2,3,1,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0
97,47,5,2,2,3,0,0,2,1,1,0,0,0,0,0,1,0,0,2,0,0
98,47,5,2,2,4,1,0,2,0,2,0,0,0,0,0,2,0,0,1,0,0
99,46,6,2,2,4,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0
100,46,6,2,2,4,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0
101,46,6,2,2,4,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0
102,46,6,2,2,4,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0
103,46,6,2,2,4,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0
104,46,6,2,2,4,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0
105,46,6,2,2,4,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,0
